candidate_id,near_BOM_12b,shares_BOM_episode,l2_like,reclass
C55,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C56,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C57,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C58,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C86,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C90,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C93,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C97,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C98,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C99,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C100,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C101,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C102,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C103,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C105,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C116,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C117,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C118,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C119,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C122,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C130,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C131,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C159,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C160,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C166,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C167,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C174,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C176,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C178,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C179,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C180,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C183,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C188,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C189,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C191,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C192,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C198,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C199,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C201,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C203,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C217,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C218,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C219,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C224,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C253,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C254,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C255,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C259,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C260,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C262,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C268,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C270,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C272,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C274,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C351,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C391,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C396,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C398,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C399,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C413,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C414,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C415,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C416,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C417,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C418,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C419,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C427,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C428,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C429,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C430,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C436,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C458,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C459,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C461,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C467,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C468,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C469,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C470,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C471,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C472,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C550,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C552,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C557,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C558,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C559,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C561,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C562,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C566,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C567,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C568,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C569,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C572,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C631,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C634,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C702,0,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C703,0,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C707,0,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C709,0,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C713,0,1,1,DUPLICATE_SIGNAL_IN_BULL_LEG
C714,0,1,1,DUPLICATE_SIGNAL_IN_BULL_LEG
C715,0,1,1,DUPLICATE_SIGNAL_IN_BULL_LEG
C717,0,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C718,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C719,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C720,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C722,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C727,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C735,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C780,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C781,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C782,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C783,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C784,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C786,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C787,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C788,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C795,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C796,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C798,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C799,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C800,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C845,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C849,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C850,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C852,0,0,1,TRUE_L2_CONTINUATION_CANDIDATE
C853,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C854,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C858,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C866,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C871,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C872,0,0,0,GENERIC_BULL_FOLLOW_THROUGH
C875,1,0,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C876,1,0,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C888,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
C889,1,1,0,DUPLICATE_SIGNAL_IN_BULL_LEG
